1,2,3,4,Posture
0.012890624,0.014904783999999999,0.037463376,0.015710448,1.0
0.014300535999999999,0.017523192,0.038067624,0.007855224,1.0
0.014703368,0.017523192,0.036859128,0.009667967999999999,1.0
0.012890624,0.01409912,0.033032224,0.012286376,1.0
0.013494872,0.014300535999999999,0.040887448,0.011682128,1.0
0.015307616,0.01611328,0.034643552,0.01712036,1.0
0.014703368,0.013897704,0.039074704,0.017321776,1.0
0.0151062,0.015911864,0.033636472,0.015911864,1.0
0.015710448,0.01611328,0.033636472,0.017321776,1.0
0.015307616,0.015911864,0.034643552,0.016918943999999998,1.0
0.01309204,0.01712036,0.03726196,0.018127439999999998,1.0
0.012890624,0.017724608,0.036657712,0.018731688,1.0
0.012890624,0.017523192,0.038671871999999996,0.01913452,1.0
0.011883544,0.01611328,0.040686032,0.018731688,1.0
0.013897704,0.013696288,0.038470456,0.017523192,1.0
211.507344432,0.021752928,0.016314696,0.006445312,1.0
0.022558592,0.021954344,0.022558592,0.01409912,1.0
0.019940184,0.019335935999999998,0.034844968,0.017321776,1.0
0.01309204,0.021350096,0.042700192,0.019537352,1.0
0.013897704,0.019335935999999998,0.037463376,0.01913452,1.0
0.011883544,0.017926024,0.032427976,0.017523192,1.0
0.0151062,0.021350096,0.031018063999999998,0.018127439999999998,1.0
0.013696288,0.016918943999999998,0.034442136,0.018933104,1.0
0.012286376,0.01611328,0.032629392,0.018530272,1.0
0.012286376,0.018530272,0.029406736,0.017926024,1.0
0.00201416,0.030816648,0.051159664,0.008258056,2.0
0.001611328,0.031018063999999998,0.050353999999999996,0.009265136,2.0
0.002215576,0.030615232,0.050152584,0.008660888,2.0
0.002215576,0.030010984,0.049749752,0.008459471999999999,2.0
0.0024169919999999998,0.031420896,0.049749752,0.008660888,2.0
0.005639648,0.036254879999999996,0.05639648,0.010272216,2.0
0.005841064,0.036456296,0.054986568,0.010272216,2.0
0.006445312,0.036657712,0.0553894,0.010272216,2.0
0.006445312,0.036859128,0.055792232,0.010876464,2.0
0.0050354,0.036859128,0.055792232,0.010272216,2.0
0.008258056,0.030816648,0.051361079999999996,0.009869384,2.0
0.0074523919999999995,0.031018063999999998,0.052569576,0.011279296,2.0
0.008258056,0.030615232,0.05236816,0.010272216,2.0
0.008660888,0.029608152,0.053173824,0.010876464,2.0
0.008660888,0.030816648,0.052569576,0.010272216,2.0
0.00201416,0.034039304,0.054583736,0.007855224,2.0
0.00201416,0.033636472,0.054785152,0.007653808,2.0
0.0012084959999999999,0.033837887999999997,0.053979488,0.007250976,2.0
0.001611328,0.034643552,0.054583736,0.00805664,2.0
0.002215576,0.035046384,0.055187984,0.007653808,2.0
0.001812744,0.033435056,0.062640376,0.008862304,2.0
0.001611328,0.032629392,0.062841792,0.008459471999999999,2.0
0.0006042479999999999,0.032830808,0.063647456,0.007653808,2.0
0.00201416,0.033032224,0.063647456,0.007653808,2.0
0.00201416,0.033435056,0.063848872,0.009063719999999999,2.0
0.011682128,0.020947264,0.029406736,0.01107788,3.0
0.01309204,0.020343016,0.026989744,0.011279296,3.0
0.012487792,0.019738768,0.03222656,0.011480712,3.0
0.011883544,0.020343016,0.031420896,0.009667967999999999,3.0
0.015307616,0.028399656,0.03726196,0.009466552,3.0
